premise	hypothesis	label
Egun batean Amancay Gaztañaga Sagarzazu k (Guayaquil, 1980) Pandoraren kutxa ireki eta mila koloreko mundua deskubritu zuen.	 Amancay Gaztañaga Sagarzazu k gipuzkoarra da.	1
Egun batean Amancay Gaztañaga Sagarzazu k (Guayaquil, 1980) Pandoraren kutxa ireki eta mila koloreko mundua deskubritu zuen.	 Amancay Gaztañaga Sagarzazu k Pandoraren kutxa itxita mantendu zuen.	2
Umorea erabilita eta alaitasunarekin gauza asko lortzen dira umeekin.	Umeei asko gustatzen zaie umorea eta alaitasuna.	0
Umorea erabilita eta alaitasunarekin gauza asko lortzen dira umeekin.	Umeak batzuetan oso neketsuak dira.	1
Umorea erabilita eta alaitasunarekin gauza asko lortzen dira umeekin.	Umorea eta alaitasuna umeekin erabiliz gero, zutaz aprobetxatuko dira	2
Zergatik sortzen duen gutako gehienongan beldurra argitasun ezak, erabateko iluntasunak.	Iluntasunak eta argi ezak beldurra gizarte gehienari beldurra ematen dio.	0
Zergatik sortzen duen gutako gehienongan beldurra argitasun ezak, erabateko iluntasunak.	Ez dugu beldurrik izan behar iluntasunari, beldur irrazional bat da.	1
Zergatik sortzen duen gutako gehienongan beldurra argitasun ezak, erabateko iluntasunak.	Gizartea oso ausarta da, ez du inolako beldurrik.	2
Ibilbide luzea egin du Urtxintxa Eskolak jendartea balioetan trebatzen hezkuntza ez-formalean.	Urtxintxa Eskolak urte asko daramatza hezkuntza ez-formaleko ikastaroetan balioak irakasten.	0
Ibilbide luzea egin du Urtxintxa Eskolak jendartea balioetan trebatzen hezkuntza ez-formalean.	Urtxintxa Eskolak hezkuntza ez-formaleko ikastaro ez-presentzialak eskaintzen ditu.	1
Ibilbide luzea egin du Urtxintxa Eskolak jendartea balioetan trebatzen hezkuntza ez-formalean.	Urtxintxa Eskolak esperientzia eskasa dauka hezkuntza ez-formalean.	2
Ondoren hainbat lokal okupatzeko saiakerak izan ziren, baina ez zuten aurrera egin.	Lokalak okupatu gabe gelditu ziren, egindako ahaleginak gorabehera.	0
Ondoren hainbat lokal okupatzeko saiakerak izan ziren, baina ez zuten aurrera egin.	Lokalak okupatzeko saiakeretan batez ere gazteek hartu zuten parte.	1
Ondoren hainbat lokal okupatzeko saiakerak izan ziren, baina ez zuten aurrera egin.	Hainbat lokal okupatzeko egindako ahaleginak oso arrakastatsuak izan ziren.	2
Antzerkiaren tradizioa horizontala da.	Antzerkietan partaide guztiek dute garrantzia bera.	0
Antzerkiaren tradizioa horizontala da.	Antzerkiak tradizio luzea du.	1
Antzerkiaren tradizioa horizontala da.	Antzerkiaren tradizioa bertikala edo hierarkikoa da.	2
Kale horretan garabi bat ipintzeko garabi mugikor batekin eta kamioi batekin egin beharreko lanetarako itxiko da zirkulazioa.	Kale horretako trafikoa eten egingo da garabi mugikorra jarri ahal izateko.	0
Kale horretan garabi bat ipintzeko garabi mugikor batekin eta kamioi batekin egin beharreko lanetarako itxiko da zirkulazioa.	Kale horretan zirkulazioa hobetzeko obrak egingo dira.	1
Kale horretan garabi bat ipintzeko garabi mugikor batekin eta kamioi batekin egin beharreko lanetarako itxiko da zirkulazioa.	Garabia ipintzeko lanek iraun bitartean, kale horretan autoak etengabe pasatzen ibiliko dira.	2
Ikasitako begiekin ikusten dugu mundua.	Gure ikuspegia ez da jaiotzetikoa, ikasi egiten dugu.	0
Ikasitako begiekin ikusten dugu mundua.	Guztiok dugu errealitateari buruzko ikuspuntu bat.	1
Ikasitako begiekin ikusten dugu mundua.	Gure iritziak ezin dira baldintzatu.	2
Urritik ekainera bitartean iraupen laburreko ikastaroetan parte hartzeko aukera ematen du Urtxintxa Eskolak.	Urritik ekainera, Urtxintxa Eskolak ikastaro motzak eskaintzen ditu.	0
Urritik ekainera bitartean iraupen laburreko ikastaroetan parte hartzeko aukera ematen du Urtxintxa Eskolak.	Urtxintxa eskolan iraupen desberdineko formakuntzak egin daitezke urte sasoiaren arabera.	1
Urritik ekainera bitartean iraupen laburreko ikastaroetan parte hartzeko aukera ematen du Urtxintxa Eskolak.	Urtxintxa eskolak ikastaro luzeak baino ez ditu eskaintzen urritik ekainera.	2
EGA prestatzeko lekuak ere badaude sarean zehar.	EGA modalitate ez-presentzialean prestatu daiteke.	0
EGA prestatzeko lekuak ere badaude sarean zehar.	EGA azterketa prestatzeko gogor egin behar da lan.	1
EGA prestatzeko lekuak ere badaude sarean zehar.	EGA azterketa soilik aurrez-aurreko klaseetan prestatu daiteke.	2
Arriaga antzokiak Macbeth, Shakespeareren lan klasikoaren bertsioa, estreinatuko du otsailaren 7an.	Arriaga antzokian otsailaren 7an, Shakespeareren lan baten bertsio bat antzeztuko da, Macbeth, hain zuzen ere.	0
Arriaga antzokiak Macbeth, Shakespeareren lan klasikoaren bertsioa, estreinatuko du otsailaren 7an.	Arriaga antzokian estreinatuko den antzezlana Macbeth-en moldaketa guztiz modernoa da.	1
Arriaga antzokiak Macbeth, Shakespeareren lan klasikoaren bertsioa, estreinatuko du otsailaren 7an.	Otsailaren 7an ikuslegoak ezingo du Macbeth ikusi Arriaga antzokian.	2
Marijuli oso pertsona bizia zen, goxoa, hurbila, arduratsua, maitakorra.	Marijulik bizitasun handia zuen eta jendearekin oso atsegina eta gertukoa zen.	0
Marijuli oso pertsona bizia zen, goxoa, hurbila, arduratsua, maitakorra.	Marijuli herriko emakume nagusi bat zen.	1
Marijuli oso pertsona bizia zen, goxoa, hurbila, arduratsua, maitakorra.	Marijuli pertsona bizigabea, zatarra, arduragabea, hotza eta desatsegina zen.	2
Berrizabal 2008ko martxoan atxilotu zuten 18/98 makrosumarioaren harira eta 12 urteko kartzela zigorra ezarri zion Auzitegi Nazionalak.	2008an 19/98 makrosumarioagatik atxilotua izan eta gero, Auzitegi Nazionalak erabaki zuen Berrizabal erruduna zela eta 12 urtez espetxeratuta egon beharko zuela.	0
Berrizabal 2008ko martxoan atxilotu zuten 18/98 makrosumarioaren harira eta 12 urteko kartzela zigorra ezarri zion Auzitegi Nazionalak.	Berrizabal 2008an atxilotu zuten, eta 18/98 makrosumarioren epaiketa iritsi bitartean behin-behineko espetxeratzea ezarri zioten.	1
Berrizabal 2008ko martxoan atxilotu zuten 18/98 makrosumarioaren harira eta 12 urteko kartzela zigorra ezarri zion Auzitegi Nazionalak.	Berrizabal 19/98 makrosumarioagatik atxilotu zuten 2008ko martxoan, baina epaitzerakoan, Auzitegi Nazionalak akusatua errugabe deklaratu eta karguetatik libre utzi zuen.	2
Izotz jauregian ikastaro bat egin berri du Peruk.	Peruk duela gutxi izotz gaineko pista batean egon da.	0
Izotz jauregian ikastaro bat egin berri du Peruk.	Peru izotz-gaineko patinaje klase batean egon da.	1
Izotz jauregian ikastaro bat egin berri du Peruk.	Peru ez da sekula egon izotz gaineko pista batean.	2
Nagusiaren etxeko ohe txiki batean amaitu zuten laurek.	Laurak euren buruzagiaren etxera joan ziren.	0
Nagusiaren etxeko ohe txiki batean amaitu zuten laurek.	Nagusiaren etxean ohe txiki bat baino ez dago libre.	1
Nagusiaren etxeko ohe txiki batean amaitu zuten laurek.	Kalean amaitu zuten laurek.	2
Peru Kutxak antolatutako ingeleses udalekura joaten da goizetan.	Goizero, Peru udalekuetara doa ingelesera ikastera.	0
Peru Kutxak antolatutako ingeleses udalekura joaten da goizetan.	Udan udalekuak antolatzen dira haur eta gazteentzako.	1
Peru Kutxak antolatutako ingeleses udalekura joaten da goizetan.	Udan, Peruk goizak etxean pasatzen ditu.	2
Herri guztiek dute erabakitzeko eskubidea.	Edozein herrialdek izan behar du erabakitzeko aukera.	0
Herri guztiek dute erabakitzeko eskubidea.	Herrialde batzuen konstituzioan erabakitzeko eskubidea aitortzen da.	1
Herri guztiek dute erabakitzeko eskubidea.	Herri banaka batzuei dagokie erabakitzeko eskubidea.	2
Joan den larunbatean hasi ziren Santutxuko jaiak AEK euskaltegiko eta Gaztedi Dantzari Taldeko kideen pregoiarekin.	Aurreko larunbatean, Santutxuko jaiak hasi ziren AEK euskaltegiko eta Gaztedi Dantzari Taldeko pregoilarien eskutik.	0
Joan den larunbatean hasi ziren Santutxuko jaiak AEK euskaltegiko eta Gaztedi Dantzari Taldeko kideen pregoiarekin.	Aurreko larunbatean, Santutxun giro atsegina zegoen jaien hasiera zela eta.	1
Joan den larunbatean hasi ziren Santutxuko jaiak AEK euskaltegiko eta Gaztedi Dantzari Taldeko kideen pregoiarekin.	Joan den larunbatean, Santutxuko jaiak hasi ziren, AEK euskaltegiko eta Gaztedi Dantzari Taldeko kideek pregoilari izateari uko egin bazioten ere.	2
Markina Elkartegia industria-izaera nabarmena duen Enpresa Zentroa da.	Markina Elkartegian biltzen diren enpresa gehienak bigarren-sektorekoak dira.	0
Markina Elkartegia industria-izaera nabarmena duen Enpresa Zentroa da.	Markina Elkartegian industria erloko enpresa ertainak biltzen dira.	1
Markina Elkartegia industria-izaera nabarmena duen Enpresa Zentroa da.	Markina Elkartegian biltzen diren enpresak lehen sektorekoak dira, hau da, nekazaritza eta abeltzaintzan dihardute.	2
Orain hiru aste ikusi nuen azkenengoz.	Badira hiru aste ez dudala ikusi.	0
Orain hiru aste ikusi nuen azkenengoz.	Badira hiru aste kalera irten nintzela.	1
Orain hiru aste ikusi nuen azkenengoz.	Hiru aste barru ikusiko dut lehenengo aldiz.	2
Gernika Elkartegia enpresa-zentro bat da, sortu berri diren enpresa-proiektuak eta hedapen-prozesuan dauden enpresak hartzeko sortua.	Gernika Elkartegiaren helburua da duela gutxi sortu diren edo hedapen-prozesuan dauden enpresak biltzea.	0
Gernika Elkartegia enpresa-zentro bat da, sortu berri diren enpresa-proiektuak eta hedapen-prozesuan dauden enpresak hartzeko sortua.	Gernika Elkartegia oso handia da eta sortu berri diren enpresa ugari biltzen dira.	1
Gernika Elkartegia enpresa-zentro bat da, sortu berri diren enpresa-proiektuak eta hedapen-prozesuan dauden enpresak hartzeko sortua.	Gernika Elkartegiak enpresa-proiektu berriak eta hedatzen ari diren enpresak suntsitzeko balio du.	2
Esan dezagun ofizio harrigarri bat duela berak: munduko ibiltari.	Mundutik bidaiatzea ofizio izatea ez-ohikoa da.	0
Esan dezagun ofizio harrigarri bat duela berak: munduko ibiltari.	Dirua irabazteko lan egin behar da.	1
Esan dezagun ofizio harrigarri bat duela berak: munduko ibiltari.	Bere lana etxetik mugitu barik burutzen du.	2
Chicagotik Los Angeleserakoko hegaldiak bi orduko atzerapena izan zuen.	Chicagotik Los Angelesera zihoan hegazkina berandu iritsi zen.	0
Chicagotik Los Angeleserakoko hegaldiak bi orduko atzerapena izan zuen.	Chicagotik Los Angelesera hiru orduero hegaldi bat ateratzen da.	1
Chicagotik Los Angeleserakoko hegaldiak bi orduko atzerapena izan zuen.	Chicagotik Los Angeleserako hegaldiak bere iritsiera bi orduz aurreratu zuen.	2
Jack Londonen parajeetan piraguaz ibaiak eta Alaskako laku ikusgarrietan ibili ondoren, lagun handi bat etorri zitzaidan erietxera bisitan, atzo.	Atzo, Kaliforniatik eta Alaskatik bidaiatzen ibili zen lagun batek bisita egin zidan ospitalean.	0
Jack Londonen parajeetan piraguaz ibaiak eta Alaskako laku ikusgarrietan ibili ondoren, lagun handi bat etorri zitzaidan erietxera bisitan, atzo.	Atzo erietxean bisitatu ninduen lagun mina txiki-txikitatik ezagutzen dut.	1
Jack Londonen parajeetan piraguaz ibaiak eta Alaskako laku ikusgarrietan ibili ondoren, lagun handi bat etorri zitzaidan erietxera bisitan, atzo.	Atzo ni bakarrik egon nintzen erietxean.	2
Lau urtarotako lau denboraldi luze izan ditugu Paradisu zineman.	Paradisu zineman komentatu ditugun lau denboraldiak iraupen luzekoak dira.	0
Lau urtarotako lau denboraldi luze izan ditugu Paradisu zineman.	Paradisu zineman komentatutako denboraldiek luze-labur aldakorra dute.	1
Lau urtarotako lau denboraldi luze izan ditugu Paradisu zineman.	Paradisu zineman lau urtarotako lau denboraldi laburrez aritu gara.	2
Modu honetan, Euskal Herriko haur eta gazteek zinemaz gozatzeko aukera daukate euren hizkuntzan, euskaraz, gaztelerazko bertsioak estreinatzen diren momentu berean.	Euskarazko eta gaztelerazko bertsioak aldi berean kaleratuko direnez, Euskal Herriko haur eta gazteek hasieratik gozatu ahalko dute zinemaz euskaraz.	0
Modu honetan, Euskal Herriko haur eta gazteek zinemaz gozatzeko aukera daukate euren hizkuntzan, euskaraz, gaztelerazko bertsioak estreinatzen diren momentu berean.	Euskal Herrian batzuetan filmak ingelesez ere gozatu daitezke estreinalditik.	1
Modu honetan, Euskal Herriko haur eta gazteek zinemaz gozatzeko aukera daukate euren hizkuntzan, euskaraz, gaztelerazko bertsioak estreinatzen diren momentu berean.	Modu honetan, Euskal Herriko haur eta gazteek filmak gazteleraz ikusi ahalko dituzte estreinalditik, baina euskaraz ikusteko luzaroan itxaron beharko dute.	2
"Santutxuko Gazte Asanbladak kapitalismo ""zapaltzailearen aurrean"", bi ekimen antolatu ditu aste honetan."	Santutxuko Gazte Asanbladak kapitalismoaren opresioaren kontrako ekintzak antolatzen ditu.	0
"Santutxuko Gazte Asanbladak kapitalismo ""zapaltzailearen aurrean"", bi ekimen antolatu ditu aste honetan."	Santutxuko Gazte Asanbladan astero ekintzak antolatzen dira.	1
"Santutxuko Gazte Asanbladak kapitalismo ""zapaltzailearen aurrean"", bi ekimen antolatu ditu aste honetan."	Aste honetan, Santutxuko Gazte Asanbladaren eskutik bi ekintza antolatu dira kapitalismoaren alderdi askatzailea defendatzeko.	2
Urtebetetze oparia aurten berezia izan behar zuen: amaren bizitzako argazki-bilduma eta merienda sorpresa.	Urte honetako urtebetetze-oparia bestelakoa izan zedin, amari ezusteko merienda bat prestatu eta argazkien bilduma bat oparitu genion.	0
Urtebetetze oparia aurten berezia izan behar zuen: amaren bizitzako argazki-bilduma eta merienda sorpresa.	Amaren aurtengo urtebetetzea berezia izan zedin, familia osoa elkartu gara meriendatzeko.	1
Urtebetetze oparia aurten berezia izan behar zuen: amaren bizitzako argazki-bilduma eta merienda sorpresa.	Amaren aurtengo urtebetetze oparia guztiz arrunta izan behar zuen, hori dela eta argazkien bilduma bat baino ez diogu oparitu.	2
Gainera bizipoza ematen du aristokrazian bat bazela euskara maite eta erabilia izan zedin urratsak eman zituena.	Aristokrataren batek euskararen erabilera bultzatzeko esfortzuak egin zituen hizkuntza atsegin zuelako, eta hori alaigarria da.	0
Gainera bizipoza ematen du aristokrazian bat bazela euskara maite eta erabilia izan zedin urratsak eman zituena.	Aristokraziaren artean baten batek euskal hizkuntzalaritzan ziharduen, eta horrek poztasuna ematen du.	1
Gainera bizipoza ematen du aristokrazian bat bazela euskara maite eta erabilia izan zedin urratsak eman zituena.	Aristokrata guztiek euskara gorrotatzen zuten, horregatik euskararen erabilera murrizteko urratsak eman zituzten.	2
Euskaldunok hartzaile pasiboei euskaraz egiten diegun heinean, eta orduan bakarrik, irauliko dugu erabilera.	Euskararen erabilera handitzeko euskaldunok hartzaile pasiboei euskaraz hitz egin behar diegu.	0
Euskaldunok hartzaile pasiboei euskaraz egiten diegun heinean, eta orduan bakarrik, irauliko dugu erabilera.	Haurrak aurrean daudenean, euskaldunok hartzaile pasiboekin maizago hitz egiten dugu euskaraz.	1
Euskaldunok hartzaile pasiboei euskaraz egiten diegun heinean, eta orduan bakarrik, irauliko dugu erabilera.	Euskararen erabilera iraultzeko euskaldunok hartzaile pasiboei erdaraz hitz egiten behar diegu.	2
Mikel Antzak 2012an argitaratu duen eleberria da Atzerri; autofikzioa omen da eleberriaren muina.	Mikel Antzak Atzerri nobela idatzi zuen, eta diotenez nobelaren ardatza bere bizipenen eta fikzioaren arteko nahasketa da.	0
Mikel Antzak 2012an argitaratu duen eleberria da Atzerri; autofikzioa omen da eleberriaren muina.	Mikel Antzaren Atzerri eleberria 2012 argitaratu zen, eta geroztik arrakasta handia izan du euskal irakurleen artean.	1
Mikel Antzak 2012an argitaratu duen eleberria da Atzerri; autofikzioa omen da eleberriaren muina.	2012an, Mikel Antzak Atzerri argitaratu du, hots, bere bizipenak biltzen dituen liburu autobiografikoa.	2
Bukatu denean txaloak jo ditut, lehen aldiz nire bizitzan.	Amaitzean, atsegin izan dudala adierazi dut.	0
Bukatu denean txaloak jo ditut, lehen aldiz nire bizitzan.	Nire amaierako erreakzioak oso ohikoak dira.	1
Bukatu denean txaloak jo ditut, lehen aldiz nire bizitzan.	Amaitu denean, betiko legez, geldi-geldi geratu naiz.	2
Ekintzailetzarako eta coworking areto bat ere badu, enpresa-proiektu bat abian jartzeko behar den azpiegitura guztiarekin.	Enpresen arteko elkarlana bultzatzeko eta enpresa berrien sorkuntza bultzatzeko behar diren azpiegiturak ditu.	0
Ekintzailetzarako eta coworking areto bat ere badu, enpresa-proiektu bat abian jartzeko behar den azpiegitura guztiarekin.	Enpresa-proiektu bat martxan jartzeko beharrezkoak diren oinarrizko azpiegiturak enpresaren beharren araberakoak dira.	1
Ekintzailetzarako eta coworking areto bat ere badu, enpresa-proiektu bat abian jartzeko behar den azpiegitura guztiarekin.	Nahiz eta ekintzailetzarako eta coworkinetako areto bat dituen, dituen azpiegiturak eskasegiak dira enpresa-proiektu bat martxan jartzeko.	2
